longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-117.23,33.57,6,13724,2269.0,5860,1986,3.9617,175886.0,<1H OCEAN
-120.44,37.28,12,2855,598.0,1658,586,2.3929,99174.0,INLAND
-117.2,33.7,23,6323,1196.0,1984,1124,2.3276,136067.0,<1H OCEAN
-121.34,38.64,12,2772,578.0,1335,565,3.8068,143221.0,INLAND
-117.28,34.12,36,2991,822.0,2378,751,1.3571,72802.0,INLAND
-119.48,36.5,32,3451,625.0,1968,574,2.9554,77821.0,INLAND
-122.04,37.04,17,4977,994.0,1987,947,3.8854,263093.02,NEAR OCEAN
-118.45,34.03,39,1657,402.0,931,363,3.7813,398523.32,<1H OCEAN
-117.47,33.92,18,3869,773.0,2500,726,3.6583,124625.0,INLAND
-121.94,37.75,16,5121,735.0,2464,761,6.6204,314265.01,<1H OCEAN
-117.28,34.51,10,4676,884.0,2845,812,3.0181,99761.0,INLAND
-120.95,35.44,30,6346,1410.0,1769,887,2.6864,237187.0,NEAR OCEAN
-117.9,33.97,23,7353,1255.0,4014,1124,5.4155,269852.0,<1H OCEAN
-120.77,38.38,15,4221,816.0,1737,743,2.3125,115764.0,INLAND
-116.93,32.8,19,1867,538.0,1219,468,2.0685,125712.0,<1H OCEAN
-118.13,33.81,34,1903,343.0,928,349,5.395,251978.0,<1H OCEAN
-117.4,33.95,46,2189,423.0,866,389,3.1384,123511.0,INLAND
-122.07,37.96,34,1692,290.0,836,289,5.0172,211893.01,NEAR BAY
-123.71,39.88,42,1518,383.0,656,303,1.4952,99320.0,NEAR OCEAN
-122.72,38.58,4,7042,1100.0,2936,1043,5.0555,225222.01,<1H OCEAN
-117.77,33.72,9,2153,316.0,954,324,7.8139,351553.03,<1H OCEAN
-117.93,34.07,34,1409,305.0,819,273,3.3977,192386.0,<1H OCEAN
-118.41,34.07,52,1202,142.0,408,138,15.0001,499831.99,<1H OCEAN
-120.07,36.97,28,1563,403.0,1564,408,1.5662,53903.0,INLAND
-119.27,36.05,29,1016,174.0,481,140,2.2917,65605.0,INLAND
-120.82,37.05,15,1385,288.0,775,255,1.933,87657.0,INLAND
-121.43,38.54,42,3321,688.0,1346,658,2.4618,106148.0,INLAND
-120.44,34.96,30,1685,315.0,1290,368,3.4722,155439.0,<1H OCEAN
-120.35,37.95,13,2104,407.0,960,401,2.4,113629.0,INLAND
-118.17,33.95,23,1991,584.0,1380,535,1.9107,154602.0,<1H OCEAN
-121.57,39.5,31,2023,469.0,1073,436,1.5714,57000.0,INLAND
-117.82,33.88,18,1982,300.0,1027,324,7.0526,285653.0,<1H OCEAN
-121.9,37.44,4,1646,408.0,853,410,5.0821,235956.01,<1H OCEAN
-121.45,38.54,38,1865,384.0,1052,354,1.7891,66520.0,INLAND
-119.81,36.83,19,6789,1200.0,2325,1109,4.049,117821.0,INLAND
-118.36,33.8,34,2629,369.0,966,375,10.1241,498570.98,NEAR OCEAN
-117.68,33.59,8,2327,263.0,899,236,14.9009,491593.45,<1H OCEAN
-118.04,33.88,17,4807,838.0,3059,853,5.7619,285234.0,<1H OCEAN
-118.43,34.01,41,1527,279.0,746,285,6.4232,445279.32,<1H OCEAN
-122.71,38.5,15,5645,830.0,2324,769,6.6104,324346.01,<1H OCEAN
-121.83,36.6,30,2748,502.0,1491,535,4.3472,226031.0,<1H OCEAN
-120.82,35.31,16,3924,699.0,1325,638,2.5172,218472.01,NEAR OCEAN
-120.06,36.95,24,646,134.0,454,149,2.125,76169.98,INLAND
-122.14,37.68,31,3184,716.0,1561,628,2.7955,170769.0,NEAR BAY
-116.46,33.78,25,1137,414.0,604,240,1.3801,80072.0,INLAND
-121.09,38.19,23,762,140.0,358,141,2.4545,120628.0,INLAND
-121.32,38.57,15,3369,499.0,1733,470,5.31,181762.0,INLAND
-120.99,37.66,30,1718,395.0,914,400,1.933,90288.0,INLAND
-122.22,37.79,37,2343,574.0,1608,523,2.1494,126865.0,NEAR BAY
-122.47,37.78,52,2169,522.0,1220,505,3.1989,426353.07,NEAR BAY
-117.91,33.61,40,2790,531.0,952,424,4.8,434850.45,<1H OCEAN
-121.53,39.06,20,561,109.0,308,114,3.3021,117552.0,INLAND
-117.04,32.83,8,2205,348.0,777,341,6.0266,284221.06,<1H OCEAN
-118.13,34.11,52,2568,345.0,1102,345,9.1373,489236.83,<1H OCEAN
-122.32,38.06,4,7999,1611.0,3596,1396,5.0969,196721.0,NEAR BAY
-121.73,37.68,17,20354,3493.0,8768,3293,5.4496,227287.0,INLAND
-118.98,35.4,36,1864,331.0,1052,325,3.4205,82515.0,INLAND
-121.9,37.25,28,2714,502.0,1389,490,5.7385,299056.02,<1H OCEAN
-121.3,38.69,13,2135,429.0,779,432,3.6995,127964.0,INLAND
-115.64,32.75,19,377,69.0,198,55,1.625,73477.0,INLAND
-117.89,33.76,34,1050,210.0,723,201,4.8,191537.0,<1H OCEAN
-118.36,33.92,46,1231,231.0,793,256,4.1023,210404.0,<1H OCEAN
-117.06,32.58,11,2879,679.0,2098,673,3.5125,137053.0,NEAR OCEAN
-115.49,32.67,25,2322,573.0,2185,602,1.375,69027.0,INLAND
-117.31,34.09,34,1336,345.0,1009,311,1.608,72227.0,INLAND
-121.03,39.21,28,2843,535.0,1310,525,3.2337,159041.0,INLAND
-117.05,32.72,35,1777,369.0,1158,353,3.4107,130150.0,NEAR OCEAN
-117.95,33.92,18,2825,660.0,1590,643,3.6106,185560.0,<1H OCEAN
-119.01,35.31,19,7092,1517.0,4101,1436,2.1006,75361.0,INLAND
-119.17,34.27,18,8010,1539.0,3982,1483,4.0905,229598.01,NEAR OCEAN
-118.07,34.14,42,3200,685.0,1668,628,3.375,236573.0,INLAND
-122.23,38.1,46,4143,895.0,2240,847,2.4201,118753.0,NEAR BAY
-117.75,34.06,52,62,9.0,44,16,0.4999,327681.35,INLAND
-118.27,33.81,42,865,208.0,811,218,3.8621,172426.0,<1H OCEAN
-121.32,38.0,21,1795,482.0,1114,472,2.0091,100804.0,INLAND
-118.99,36.06,19,2153,458.0,1317,386,1.7564,57944.0,INLAND
-122.37,40.54,28,2213,390.0,1096,378,3.6923,104627.0,INLAND
-120.39,37.98,52,1056,274.0,584,255,2.1513,102023.0,INLAND
-118.33,34.11,48,1601,464.0,784,461,3.0642,310525.05,<1H OCEAN
-118.08,33.89,37,1152,259.0,981,225,3.2857,158385.0,<1H OCEAN
-117.25,33.36,6,3725,960.0,2833,915,2.3214,153110.0,<1H OCEAN
-119.15,36.29,18,1435,,657,254,2.4281,77390.0,INLAND
-117.63,33.94,36,447,95.0,2886,85,4.2578,189713.1,INLAND
-118.55,34.19,18,5862,,3161,1280,3.1106,221922.02,<1H OCEAN
-117.89,33.71,16,1591,225.0,926,239,6.2452,263275.0,<1H OCEAN
-117.69,33.66,5,4246,689.0,1933,722,6.9501,312875.02,<1H OCEAN
-118.35,33.88,25,1459,362.0,1150,354,3.35,244909.0,<1H OCEAN
-118.09,34.16,45,2199,358.0,942,353,5.0393,347634.0,INLAND
-121.05,39.11,7,2767,423.0,1143,382,3.6333,170342.0,INLAND
-118.21,34.1,40,1684,316.0,795,330,5.2723,330874.03,<1H OCEAN
-119.04,36.07,17,2623,659.0,1912,618,1.5893,61389.0,INLAND
-117.3,34.15,33,1607,282.0,608,260,4.3438,139952.0,INLAND
-117.75,34.06,44,477,135.0,502,117,2.0156,99942.0,INLAND
-114.61,33.62,16,1187,261.0,1115,242,2.1759,63442.0,INLAND
-117.61,34.13,21,8416,1386.0,4308,1341,4.4611,177922.0,INLAND
-118.11,34.05,23,3436,565.0,1729,529,5.9941,291987.01,<1H OCEAN
-118.95,35.26,24,1341,214.0,667,184,4.0,98992.0,INLAND
-118.35,33.9,25,3309,902.0,2299,837,3.0417,218586.0,<1H OCEAN
-122.89,38.93,20,1214,247.0,504,223,2.7188,174737.0,<1H OCEAN
-121.89,36.6,40,626,164.0,337,150,2.7917,213596.0,<1H OCEAN
-118.31,34.26,34,1797,363.0,948,363,4.1339,237110.01,<1H OCEAN
-122.01,37.25,31,1574,193.0,551,191,10.2311,498941.98,<1H OCEAN
-118.37,34.04,43,888,170.0,514,161,3.1827,262041.02,<1H OCEAN
-117.19,32.76,52,1294,175.0,434,180,5.7914,341725.1,NEAR OCEAN
-119.71,36.8,17,2056,366.0,1259,367,3.9338,91498.0,INLAND
-117.28,34.68,28,1932,421.0,1156,404,1.8958,81124.0,INLAND
-120.84,35.32,15,2419,538.0,1279,522,3.4762,216634.0,NEAR OCEAN
-118.13,34.02,43,396,91.0,261,73,2.9044,184855.02,<1H OCEAN
-117.02,33.6,7,1972,352.0,964,317,3.244,143006.0,INLAND
-116.97,32.76,33,3071,466.0,1348,513,6.1768,339161.03,<1H OCEAN
-117.71,33.61,26,3046,726.0,888,663,2.6848,126592.0,<1H OCEAN
-121.58,39.79,19,2636,523.0,1184,465,2.7863,99116.0,INLAND
-118.24,34.15,19,4852,1465.0,3171,1332,2.5924,225043.0,<1H OCEAN
-122.68,38.44,29,2796,588.0,1346,562,2.9107,180313.0,<1H OCEAN
-118.14,33.84,43,2107,439.0,876,429,3.2024,217082.0,<1H OCEAN
-117.88,34.1,32,3357,621.0,1696,604,4.2685,187859.0,<1H OCEAN
-117.67,33.44,25,2994,519.0,903,410,6.6852,305360.04,<1H OCEAN
-120.47,34.64,16,1912,406.0,1009,417,3.4063,189764.0,NEAR OCEAN
-122.22,37.47,23,7740,1943.0,4124,1743,3.3268,306908.16,NEAR OCEAN
-122.25,37.86,52,1709,318.0,719,295,5.0463,307217.05,NEAR BAY
-118.11,34.06,30,1547,436.0,1700,410,2.5488,178167.0,<1H OCEAN
-122.2,39.52,39,2551,482.0,1181,437,2.0625,65970.0,INLAND
-119.9,36.58,20,1935,363.0,1319,359,2.4814,70355.0,INLAND
-118.26,33.79,42,1162,264.0,1044,241,3.5488,164563.0,<1H OCEAN
-122.51,37.53,17,1574,262.0,672,241,7.2929,378228.2,NEAR OCEAN
-118.37,33.93,46,442,88.0,255,94,4.4474,238595.0,<1H OCEAN
-118.31,33.99,48,2235,433.0,1363,433,1.6559,111177.0,<1H OCEAN
-117.94,33.65,15,2016,443.0,1015,419,5.2732,245442.0,<1H OCEAN
-118.46,34.0,44,941,230.0,493,206,3.6458,347581.05,<1H OCEAN
-122.33,37.95,46,1543,339.0,777,322,4.0927,148662.0,NEAR BAY
-117.67,34.05,6,2833,628.0,1717,589,3.2062,131458.0,INLAND
-118.05,33.94,34,495,120.0,527,130,1.9453,148412.0,<1H OCEAN
-118.27,33.89,32,1969,397.0,1349,370,4.4659,176780.0,<1H OCEAN
-117.16,33.57,2,20391,3245.0,7132,2716,3.9443,200319.02,<1H OCEAN
-118.46,34.03,27,1965,631.0,1042,596,2.75,338338.04,<1H OCEAN
-122.44,37.77,52,5604,1268.0,2023,1196,4.4085,445126.44,NEAR BAY
-122.03,37.6,24,2077,383.0,1488,389,4.5721,207118.0,NEAR BAY
-117.96,34.71,32,3511,646.0,1733,510,3.46,98565.0,INLAND
-117.83,34.01,16,9446,1650.0,4911,1534,5.0111,245840.0,<1H OCEAN
-118.62,34.2,29,2421,402.0,1120,388,5.0309,242587.01,<1H OCEAN
-121.45,38.62,37,1534,315.0,1147,322,2.5643,88022.0,INLAND
-122.48,37.71,39,3615,632.0,1571,615,5.1149,334469.04,NEAR OCEAN
-123.22,39.15,45,1348,265.0,639,270,3.3667,125440.0,<1H OCEAN
-122.11,37.39,36,1660,261.0,655,249,6.3967,396146.09,NEAR BAY
-117.71,33.47,17,2681,454.0,830,410,5.5507,286265.08,<1H OCEAN
-118.07,33.87,18,3405,556.0,1945,509,5.7652,289234.0,<1H OCEAN
-122.11,37.66,29,2544,643.0,2332,603,3.2091,189623.0,NEAR BAY
-117.93,34.04,30,1336,239.0,905,253,4.8854,182336.0,<1H OCEAN
-122.03,37.39,34,2600,650.0,1994,650,4.0223,243119.0,<1H OCEAN
-118.35,33.9,31,1547,,956,287,3.4698,231763.0,<1H OCEAN
-117.13,32.72,9,2436,720.0,1780,653,1.8299,130125.0,NEAR OCEAN
-121.66,36.82,17,3921,654.0,1895,641,5.0092,257729.0,<1H OCEAN
-118.13,34.05,35,3229,616.0,1879,595,3.9531,251248.0,<1H OCEAN
-118.28,34.05,41,1788,774.0,2931,702,1.4413,188695.0,<1H OCEAN
-118.17,34.1,25,4444,647.0,1922,652,8.058,456537.48,<1H OCEAN
-121.33,37.97,36,1953,492.0,999,371,2.0043,80481.0,INLAND
-117.23,32.74,16,1953,404.0,798,385,4.8167,243343.01,NEAR OCEAN
-121.29,38.6,29,1276,225.0,600,223,4.0938,150838.0,INLAND
-117.95,34.04,36,1044,200.0,982,205,4.7679,168860.0,<1H OCEAN
-121.83,36.61,26,3723,789.0,2563,747,3.4531,209003.02,<1H OCEAN
-119.21,34.26,26,2406,411.0,1313,391,4.9079,239468.01,NEAR OCEAN
-118.29,33.91,28,1501,446.0,1028,418,2.3043,140624.0,<1H OCEAN
-118.74,34.26,27,3467,545.0,1798,493,4.8717,221287.0,<1H OCEAN
-118.2,33.96,44,2144,477.0,1760,452,2.3221,153838.0,<1H OCEAN
-117.93,33.65,29,1253,375.0,1198,362,3.5179,262334.03,<1H OCEAN
-124.09,40.88,31,1982,495.0,1052,467,1.5326,72933.0,NEAR OCEAN
-121.39,38.56,19,8507,1470.0,3517,1453,4.3644,154788.0,INLAND
-117.33,34.13,30,2335,363.0,1214,311,2.2449,83589.0,INLAND
-118.75,34.33,27,534,85.0,243,77,8.2787,449607.59,<1H OCEAN
-118.1,33.93,36,1124,217.0,707,234,4.375,174636.0,<1H OCEAN
-118.49,34.25,33,2088,383.0,960,362,4.3333,247972.01,<1H OCEAN
-117.69,34.06,29,873,226.0,649,198,2.7986,133822.0,INLAND
-117.06,32.57,18,1384,311.0,1429,287,1.3362,110489.0,NEAR OCEAN
-118.46,34.29,24,3668,890.0,3151,810,3.0526,182868.0,<1H OCEAN
-121.74,38.55,33,6861,1820.0,3717,1767,1.7311,106404.0,INLAND
-116.89,33.73,15,2094,316.0,937,277,5.3623,164395.0,INLAND
-121.89,37.25,26,1741,323.0,1007,339,4.7069,243133.0,<1H OCEAN
-122.15,37.72,31,1616,372.0,739,379,2.9097,168364.0,NEAR BAY
-119.29,34.26,32,3295,764.0,1344,600,3.6007,258795.0,NEAR OCEAN
-118.19,33.89,38,4018,986.0,3702,927,2.9293,152494.0,<1H OCEAN
-117.66,34.06,24,4043,952.0,2174,859,2.2244,132398.0,INLAND
-118.06,33.8,20,1379,333.0,937,304,3.6217,207185.0,<1H OCEAN
-118.0,33.95,35,1431,210.0,505,213,6.8109,368780.21,<1H OCEAN
-117.95,33.84,18,3418,815.0,1961,773,3.65,186580.0,<1H OCEAN
-117.88,33.9,21,3180,434.0,1413,391,6.5945,313181.06,<1H OCEAN
-118.12,34.11,48,2124,319.0,785,319,5.2131,340274.06,<1H OCEAN
-120.99,37.69,25,2773,384.0,1060,381,6.4788,266301.01,INLAND
-118.37,33.91,41,1869,427.0,1334,435,3.9355,254383.0,<1H OCEAN
-121.74,36.47,28,1973,343.0,970,349,4.25,233749.01,<1H OCEAN
-122.19,37.48,35,7067,1646.0,5380,1597,4.1776,367907.34,NEAR BAY
-116.95,32.78,20,3425,448.0,1489,443,6.2552,289189.0,<1H OCEAN
-117.8,33.76,27,2655,345.0,1017,335,6.9014,347873.03,<1H OCEAN
-115.54,32.79,23,1712,403.0,1370,377,1.275,58557.0,INLAND
-118.43,34.17,35,2922,507.0,1130,485,5.451,375649.17,<1H OCEAN
-120.69,35.49,16,2666,450.0,1203,429,4.1375,216069.0,<1H OCEAN
-118.32,33.94,37,2740,504.0,1468,479,4.5368,186021.0,<1H OCEAN
-121.18,37.96,35,411,74.0,193,59,2.5625,130716.0,INLAND
-121.33,37.96,42,1619,340.0,906,339,2.5488,80702.0,INLAND
-119.95,36.96,18,1996,379.0,1327,356,2.6087,73765.0,INLAND
-118.47,34.0,42,1271,301.0,574,312,3.1304,375535.1,<1H OCEAN
-124.09,40.88,26,2683,555.0,1353,526,2.4321,90835.0,NEAR OCEAN
-117.19,33.64,12,1481,265.0,757,243,3.235,179081.03,<1H OCEAN
-120.64,40.41,50,1741,424.0,987,383,1.5066,65178.0,INLAND
-119.72,34.42,52,1759,387.0,980,402,4.0125,288303.0,NEAR OCEAN
-115.49,32.69,17,1960,389.0,1691,356,1.899,74502.0,INLAND
-118.1,34.11,49,3367,523.0,1317,495,6.706,436663.49,<1H OCEAN
-122.82,38.39,32,1437,257.0,752,245,4.7422,260558.0,<1H OCEAN
-118.34,34.12,41,3257,679.0,1237,638,4.2415,473413.66,<1H OCEAN
-118.29,34.0,44,1753,387.0,1165,380,2.1354,115413.0,<1H OCEAN
-121.44,38.73,25,1287,224.0,727,236,4.7396,165700.0,INLAND
-117.22,32.83,31,3958,727.0,1924,728,5.4605,274691.07,NEAR OCEAN
-122.63,38.26,7,7808,1390.0,3551,1392,4.6069,223849.0,<1H OCEAN
-118.17,34.18,38,1280,231.0,828,237,4.375,221277.01,<1H OCEAN
-124.17,40.79,43,2285,479.0,1169,482,1.9688,82874.0,NEAR OCEAN
-118.37,34.15,29,2630,617.0,1071,573,3.3669,365692.1,<1H OCEAN
-118.93,34.82,24,806,168.0,323,136,3.5,115087.0,INLAND
-122.24,37.47,35,2283,491.0,1148,436,4.5556,349509.01,NEAR OCEAN
-122.26,37.85,50,1120,283.0,697,264,2.125,144768.0,NEAR BAY
-118.04,33.99,36,3531,754.0,1613,697,3.2359,193205.0,<1H OCEAN
-117.92,33.92,19,2181,400.0,1272,337,5.1952,242566.0,<1H OCEAN
-116.51,33.89,21,1284,306.0,537,233,1.95,88936.99,INLAND
-117.94,33.84,25,4016,831.0,2166,774,3.1884,194548.0,<1H OCEAN
-122.07,38.24,15,7937,1635.0,4390,1567,3.5464,160719.0,INLAND
-118.25,33.93,42,657,147.0,526,132,2.5,105000.0,<1H OCEAN
-118.86,34.22,26,1932,280.0,886,289,5.0855,253682.08,<1H OCEAN
-121.47,38.72,26,1708,299.0,911,290,4.0227,108709.0,INLAND
-118.2,33.92,36,414,104.0,477,130,3.6719,133038.0,<1H OCEAN
-122.13,37.7,21,4124,1054.0,2162,998,2.6321,174417.0,NEAR BAY
-122.01,37.27,28,3825,473.0,1415,480,10.675,500001.0,<1H OCEAN
-124.08,40.94,18,1550,345.0,941,335,2.3147,93536.0,NEAR OCEAN
-118.31,34.26,36,1882,453.0,1005,409,3.8,230935.0,<1H OCEAN
-117.29,33.2,16,2150,461.0,1428,407,2.4754,151698.0,NEAR OCEAN
-117.72,33.54,13,4866,812.0,1909,733,4.9821,261475.05,<1H OCEAN
